"SpeedUp Teórico"
0 0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20

"String 10^1"
1 1.000000
2 0.473486
3 0.586270
4 0.595008
5 0.640384
6 0.743581
7 0.769489
8 0.642782
9 0.668228
10 0.512003
11 0.727912
12 0.688240
13 0.732518
14 0.664517
15 0.693668
16 0.764643
17 0.595785


"String 10^2"
1 1.000000
2 0.473242
3 0.219663
4 0.678475
5 0.727946
6 0.765194
7 0.715538
8 0.825242
9 0.749695
10 0.783698
11 0.675533
12 0.685422
13 0.812335
14 0.716098
15 0.788426
16 0.690863
17 0.790785


"String 10^3"
1 1.000000
2 0.490607
3 0.689075
4 0.884541
5 1.032189
6 1.233207
7 1.308079
8 1.404233
9 1.435290
10 1.693623
11 1.698350
12 1.838349
13 1.873864
14 1.681309
15 1.958051
16 2.036677
17 1.853441


"String 10^4"
1 1.000000
2 1.433419
3 2.175070
4 2.849248
5 3.487978
6 4.206809
7 4.804965
8 3.755016
9 3.961057
10 4.377803
11 3.732380
12 3.385912
13 3.441842
14 3.686415
15 3.812636
16 3.051091
17 3.253891


"String 10^5"
1 1.000000
2 1.369784
3 1.667391
4 2.069365
5 2.310242
6 2.614142
7 2.642604
8 3.100495
9 3.107925
10 3.192980
11 3.600731
12 3.909230
13 4.039593
14 4.305329
15 4.013406
16 3.679761
17 5.033282


"String 10^6"
1 1.000000
2 1.455791
3 2.127173
4 2.849888
5 3.446850
6 4.160304
7 4.678876
8 5.330981
9 5.898679
10 6.480892
11 7.047385
12 7.571205
13 7.947577
14 8.670677
15 8.974147
16 9.662066
17 10.276406


"String 10^7"
1 1.000000
2 1.476406
3 2.211881
4 2.901601
5 3.680038
6 4.408673
7 5.121213
8 5.742558
9 6.515419
10 7.291627
11 8.172148
12 8.579714
13 9.438745
14 10.487848
15 11.092571
16 10.437934
17 11.683266


"String 10^8"
1 1.000000
2 1.480403
3 2.191879
4 2.867404
5 3.523143
6 4.358807
7 4.843866
8 5.440851
9 6.055794
10 6.598911
11 7.181897
12 8.351382
13 9.404625
14 9.867891
15 10.872557
16 11.135737
17 12.301600
