"String 10^1"
1 1.000000
2 0.336689
3 0.494256
4 0.352111
5 0.543837
6 0.623139
7 0.457033
8 0.544812
9 0.516911
10 0.400282


"String 10^2"
1 1.000000
2 0.909629
3 1.130294
4 1.315459
5 1.431395
6 1.370862
7 1.291853
8 1.378373
9 1.328409
10 1.613571


"String 10^3"
1 1.000000
2 0.392127
3 0.601860
4 0.760853
5 0.863432
6 1.007019
7 1.124813
8 1.163175
9 1.260246
10 1.301387


"String 10^4"
1 1.000000
2 1.292645
3 2.161313
4 2.023603
5 3.064581
6 1.995140
7 2.334962
8 2.216917
9 2.234448
10 1.980582


"String 10^5"
1 1.000000
2 1.173105
3 1.535525
4 1.802410
5 2.110901
6 2.289995
7 2.546562
8 2.797643
9 2.949871
10 3.075304


"String 10^6"
1 1.000000
2 1.442538
3 2.106345
4 2.751736
5 3.308668
6 3.588641
7 3.659993
8 5.067034
9 5.786792
10 6.312720


"String 10^7"
1 1.000000
2 1.474084
3 2.190912
4 2.944438
5 3.617921
6 4.516944
7 5.005949
8 5.870699
9 6.619629
10 6.978039


"String 10^8"
1 1.000000
2 1.482583
3 2.197141
4 2.863872
5 3.520376
6 4.335585
7 4.834722
8 5.443720
9 6.036412
10 6.604240
